pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
50,c,16,2,66,2,,,,,176.79194348299643,177.7780909279827,177.7780909279827,177.7780909279827,177.7780909279827,177.79506873397622,178.78076639695792,178.78076639695792,c,1,0.2722946400754154,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-150,z,16,3,67,3,,,,,179.08151078497758,180.0675123319961,180.0675123319961,180.0675123319961,180.0675123319961,180.0841164609883,181.0698715519975,181.0698715519975,z,1,0.29103366704657674,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-50,x,17,0,68,0,,,,,181.38751864095684,182.37385340896435,182.37385340896435,182.37385340896435,182.37385340896435,182.39032770995982,183.37665577896405,183.37665577896405,x,1,0.31953758402960375,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
150,v,17,1,69,1,,,,,183.72719939000672,184.7130313689704,184.7130313689704,184.7130313689704,184.7130313689704,184.72977826197166,185.71583489701152,185.71583489701152,v,1,0.23460331506794319,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
50,c,17,2,70,2,,,,,185.9831965569756,186.96944840200013,186.96944840200013,186.96944840200013,186.96944840200013,186.98623706196668,187.97184681199724,187.97184681199724,c,1,0.258508826023899,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-150,z,17,3,71,3,,,,,188.2558917189599,189.24174688698258,189.24174688698258,189.24174688698258,189.24174688698258,189.25853140396066,190.24467792198993,190.24467792198993,z,1,0.27895514300325885,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-50,x,18,0,72,0,,,,,190.5453335919883,191.5310519139748,191.5310519139748,191.5310519139748,191.5310519139748,191.54814868199173,192.53385074296966,192.53385074296966,x,1,0.3114018490887247,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
150,v,18,1,73,1,,,,,192.86809014499886,193.8541781709646,193.8541781709646,193.8541781709646,193.8541781709646,193.87085364200175,194.8567784279585,194.8567784279585,v,1,0.24448085902258754,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
50,c,18,2,74,2,,,,,195.12417297897628,196.11069260397926,196.11069260397926,196.11069260397926,196.11069260397926,196.12738388899015,197.11287275899667,197.11287275899667,c,1,0.2601349700707942,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-150,z,18,3,75,3,,,,,197.39709982497152,198.3827614960028,198.3827614960028,198.3827614960028,198.3827614960028,198.39962401700905,199.38549412298016,199.38549412298016,z,1,0.22036887204740196,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
-50,x,19,0,76,0,,,,,199.63624516298296,200.62253206397872,200.62253206397872,200.62253206397872,200.62253206397872,200.63902686000802,201.62497481697937,201.62497481697937,x,1,0.30251433001831174,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
150,v,19,1,77,1,,,,,201.9592285339604,202.94498114997987,202.94498114997987,202.94498114997987,202.94498114997987,202.96179949695943,203.94763587700436,203.94763587700436,v,1,0.2520989050390199,chanda121,001,2022-10-06_01h52.02.984,11111110,2022.2.2,59.83213090916341,
